"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts","nfactor","normcounts","rpk","rpm","tpm"
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11564,13265,"T7p22","4A",64084,2618031,0.024477937808987,0.0143903220511387,6.55558267646702e-06,0.00219512479078276
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11634,11757,"T7p23","4.1",5606,2618031,0.0021413039035825,0.017408974825874,6.55558267646702e-06,0.00265559534293848
"T7Hi","wt","wt","wt","PA62","1","T7Hi",11753,13265,"T7p24","4B",59747,2618031,0.0228213493270324,0.0150934850046511,6.55558267646702e-06,0.00230238649248267
"T7Hi","wt","wt","wt","PA62","1","T7Hi",12987,13326,"T7p25","4.2",18258,2618031,0.00697394339486431,0.0205721044096292,6.55558267646702e-06,0.00313810463919221
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13351,13564,"T7p26","4.3",23858,2618031,0.00911295549976299,0.0427838286373849,6.55558267646702e-06,0.00652631974133568
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13583,13853,"T7p27","4.5",29455,2618031,0.0112508217053198,0.0416697100197028,6.55558267646702e-06,0.00635637014681962
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13926,14334,"T7p28","4.7",19548,2618031,0.00746668011188561,0.0183006865487392,6.55558267646702e-06,0.00279161860233025
"T7Hi","wt","wt","wt","PA62","1","T7Hi",14352,16467,"T7p29","5",122296,2618031,0.0467129686394088,0.0220865099949923,6.55558267646702e-06,0.00336911470497926
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16482,16839,"T7p30","5.3",27648,2618031,0.0105606083350426,0.0295815359525004,6.55558267646702e-06,0.00451241901939412
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16850,17359,"T7p31","5.5-5.7",56297,2618031,0.0215035650838359,0.0422466897521334,6.55558267646702e-06,0.00644438364018944
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16850,17150,"T7p32","5.5",38251,2618031,0.0146105985757999,0.0487019952526664,6.55558267646702e-06,0.0074290871851094
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17149,17359,"T7p33","5.7",32789,2618031,0.0125242978406291,0.0596395135268052,6.55558267646702e-06,0.00909751527364559
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17358,17517,"T7p34","5.9",25191,2618031,0.00962211677401834,0.0605164576982285,6.55558267646702e-06,0.00923128586501825
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17503,18406,"T7p35","6",133289,2618031,0.0509119257946144,0.0563808702044456,6.55558267646702e-06,0.00860043614533906
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18393,18507,"T7p36","6.3",28255,2618031,0.0107924619685558,0.0946707190224189,6.55558267646702e-06,0.0144412363773954
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18604,18859,"T7p37","6.5",122924,2618031,0.0469528435683153,0.184128798307119,6.55558267646702e-06,0.0280873276098091
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18863,19130,"T7p38","6.7",180096,2618031,0.0687906292935416,0.257642806342852,6.55558267646702e-06,0.0393012824424789
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19129,19531,"T7p39","7",269123,2618031,0.102795956197616,0.255711333824915,6.55558267646702e-06,0.0390066522603486
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19534,19834,"T7p40","7.3",215789,2618031,0.0824241576971396,0.274747192323799,6.55558267646702e-06,0.0419104152724784
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19847,20240,"T7p41","7.7",217616,2618031,0.0831220103963628,0.211506387777004,6.55558267646702e-06,0.0322635527939053
"T7Hi","wt","wt","wt","PA62","1","T7Hi",20239,21850,"T7p42","8",751144,2618031,0.286911805093217,0.178095471814536,6.55558267646702e-06,0.027166993477766
"T7Hi","wt","wt","wt","PA62","1","T7Hi",21949,22873,"T7p43","9",1221509,2618031,0.466575453079051,0.504951789046592,6.55558267646702e-06,0.0770262254275654
"T7Hi","wt","wt","wt","PA62","1","T7Hi",22966,24162,"T7p44","10B",2530828,2618031,0.966691379895807,0.808270384528267,6.55558267646702e-06,0.123294972303494
"T7Hi","wt","wt","wt","PA62","1","T7Hi",22966,24004,"T7p45","10A",2230650,2618031,0.852033455677186,0.82084147945779,6.55558267646702e-06,0.125212589020411
"T7Hi","wt","wt","wt","PA62","1","T7Hi",24227,24818,"T7p46","11",116709,2618031,0.044578922098325,0.0754296482205161,6.55558267646702e-06,0.0115061699231238
"T7Hi","wt","wt","wt","PA62","1","T7Hi",24841,27226,"T7p47","12",443181,2618031,0.16928027208234,0.0709770532839999,6.55558267646702e-06,0.0108269633359656
"T7Hi","wt","wt","wt","PA62","1","T7Hi",27306,27723,"T7p48","13",82702,2618031,0.0315893891248805,0.0757539307551091,6.55558267646702e-06,0.0115556365457868
"T7Hi","wt","wt","wt","PA62","1","T7Hi",27727,28318,"T7p49","14",211502,2618031,0.0807866675375502,0.136694868929865,6.55558267646702e-06,0.0208516734020558
"T7Hi","wt","wt","wt","PA62","1","T7Hi",28324,30568,"T7p50","15",632614,2618031,0.241637322094353,0.107681516084827,6.55558267646702e-06,0.0164259260235369
"T7Hi","wt","wt","wt","PA62","1","T7Hi",30594,34551,"T7p51","16",719533,2618031,0.274837463727511,0.0694560181267403,6.55558267646702e-06,0.0105949419837341
"T7Hi","wt","wt","wt","PA62","1","T7Hi",34623,36285,"T7p52","17",609616,2618031,0.23285285773927,0.14010400585997,6.55558267646702e-06,0.021371709087418
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36343,36547,"T7p53","17.5",76216,2618031,0.0291119547476711,0.142705660527799,6.55558267646702e-06,0.0217685700220178
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36552,36822,"T7p54","18",98020,2618031,0.037440351164673,0.138667967276567,6.55558267646702e-06,0.0211526532606097
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36916,37348,"T7p55","18.5",90701,2618031,0.0346447387368599,0.0801961544834719,6.55558267646702e-06,0.0122332610907886
"T7Hi","wt","wt","wt","PA62","1","T7Hi",37031,37283,"T7p56","18.7",63926,2618031,0.0244175871103131,0.0968951869456867,6.55558267646702e-06,0.014780560588995
"T7Hi","wt","wt","wt","PA62","1","T7Hi",37369,39130,"T7p57","19",316807,2618031,0.121009644270828,0.0687164362696354,6.55558267646702e-06,0.0104821248790456
"T7Hi","wt","wt","wt","PA62","1","T7Hi",38015,38273,"T7p58","19.2",56516,2618031,0.0215872157357953,0.0836713788209122,6.55558267646702e-06,0.0127633778643769
"T7Hi","wt","wt","wt","PA62","1","T7Hi",38552,38726,"T7p59","19.3",48656,2618031,0.0185849594599911,0.106810111839029,6.55558267646702e-06,0.0162930005020686
"T7Hi","wt","wt","wt","PA62","1","T7Hi",39388,39538,"T7p60","19.5",111182,2618031,0.0424677935440795,0.283118623627197,6.55558267646702e-06,0.0431874079848806
"T7Hi","wt","wt","wt","PA117","2","T7Hi",890,1468,"T7p01","0.3",11734,4606928,0.00254703351126825,0.00440663237243641,5.11224979215032e-06,0.000861975167802372
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1277,1433,"T7p02","0.4",1,4606928,2.17064386506583e-07,1.3914383750422e-06,5.11224979215032e-06,2.72177305807456e-07
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1468,3138,"T7p03","0.7",15154,4606928,0.00328939371312076,0.00196969683420405,5.11224979215032e-06,0.000385289630649201
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1495,1639,"T7p04","0.5",0,4606928,0,0,5.11224979215032e-06,0
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1635,1972,"T7p05","0.6B",2,4606928,4.34128773013166e-07,1.28821594365925e-06,5.11224979215032e-06,2.51986111014618e-07
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1635,1797,"T7p06","0.6A",0,4606928,0,0,5.11224979215032e-06,0
"T7Hi","wt","wt","wt","PA117","2","T7Hi",3138,5887,"T7p07","1",63809,4606928,0.0138506614385986,0.00503843631815153,5.11224979215032e-06,0.00098556145004649
"T7Hi","wt","wt","wt","PA117","2","T7Hi",5887,6448,"T7p08","1.2",102306,4606928,0.0222069891259425,0.0395846508483823,5.11224979215032e-06,0.007743097942742
"T7Hi","wt","wt","wt","PA117","2","T7Hi",6006,6135,"T7p09","1.1",27390,4606928,0.00594539354641531,0.046088322065235,5.11224979215032e-06,0.00901527193291729
"T7Hi","wt","wt","wt","PA117","2","T7Hi",6448,7588,"T7p10","1.3",206968,4606928,0.0449253819464945,0.0394082297776268,5.11224979215032e-06,0.00770858846493314
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7607,7763,"T7p11","1.4",13754,4606928,0.00298550357201154,0.0191378434103304,5.11224979215032e-06,0.00374352666407575
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7790,7880,"T7p12","1.5",31067,4606928,0.00674353929560002,0.0749282143955558,5.11224979215032e-06,0.0146566027565017
"T7Hi","wt","wt","wt","PA117","2","T7Hi",7905,8166,"T7p13","1.6",72704,4606928,0.0157814491565746,0.0604653224389832,5.11224979215032e-06,0.0118275367787829
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8165,8756,"T7p14","1.7",182094,4606928,0.0395261223965298,0.066880071736937,5.11224979215032e-06,0.0130823168773226
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8748,8895,"T7p15","1.8",77818,4606928,0.0168915164291693,0.114908275028362,5.11224979215032e-06,0.0224770462516914
"T7Hi","wt","wt","wt","PA117","2","T7Hi",8897,9092,"T7p16","2",76521,4606928,0.0166099839198702,0.0851794047172833,5.11224979215032e-06,0.0166618236941539
"T7Hi","wt","wt","wt","PA117","2","T7Hi",9157,9856,"T7p17","2.5",344624,4606928,0.0748055971354447,0.107018021652997,5.11224979215032e-06,0.0209336448734018
"T7Hi","wt","wt","wt","PA117","2","T7Hi",9856,10276,"T7p18","2.8",217295,4606928,0.047167005865948,0.112302394918924,5.11224979215032e-06,0.021967313704303
"T7Hi","wt","wt","wt","PA117","2","T7Hi",10256,10706,"T7p19","3",278861,4606928,0.0605307918856123,0.134512870856916,5.11224979215032e-06,0.026311873700588
"T7Hi","wt","wt","wt","PA117","2","T7Hi",10705,11161,"T7p20","3.5",361458,4606928,0.0784596590178965,0.172060655741001,5.11224979215032e-06,0.0336565431535044
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11224,11590,"T7p21","3.8",17268,4606928,0.00374826782619568,0.0102411689240319,5.11224979215032e-06,0.00200326066612724
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11564,13265,"T7p22","4A",134321,4606928,0.0291563054599508,0.0171406851616407,5.11224979215032e-06,0.00335286534471762
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11634,11757,"T7p23","4.1",13579,4606928,0.00294751730437289,0.0239635553201048,5.11224979215032e-06,0.00468747739144125
"T7Hi","wt","wt","wt","PA117","2","T7Hi",11753,13265,"T7p24","4B",124556,4606928,0.027036671725714,0.0178813966439907,5.11224979215032e-06,0.00349775487720631
"T7Hi","wt","wt","wt","PA117","2","T7Hi",12987,13326,"T7p25","4.2",50711,4606928,0.0110075521041353,0.0324706551744405,5.11224979215032e-06,0.00635153924291769
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13351,13564,"T7p26","4.3",69517,4606928,0.0150896649567781,0.0708434974496626,5.11224979215032e-06,0.013857597013049
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13583,13853,"T7p27","4.5",64793,4606928,0.014064252794921,0.0520898251663742,5.11224979215032e-06,0.0101892175234388
"T7Hi","wt","wt","wt","PA117","2","T7Hi",13926,14334,"T7p28","4.7",30913,4606928,0.006710111380078,0.0164463514217598,5.11224979215032e-06,0.00321704769728049
"T7Hi","wt","wt","wt","PA117","2","T7Hi",14352,16467,"T7p29","5",187482,4606928,0.0406956653110272,0.0192414493196346,5.11224979215032e-06,0.00376379287044604
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16482,16839,"T7p30","5.3",56152,4606928,0.0121885994311177,0.0341417351011699,5.11224979215032e-06,0.0066784168398018
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16850,17359,"T7p31","5.5-5.7",97700,4606928,0.0212071905616932,0.041664421535743,5.11224979215032e-06,0.0081499189651721
"T7Hi","wt","wt","wt","PA117","2","T7Hi",16850,17150,"T7p32","5.5",64061,4606928,0.0139053616639982,0.0463512055466607,5.11224979215032e-06,0.00906669420141235
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17149,17359,"T7p33","5.7",55551,4606928,0.0120581437348272,0.0574197320706057,5.11224979215032e-06,0.0112317931253617
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17358,17517,"T7p34","5.9",43728,4606928,0.00949179149315987,0.0596968018437727,5.11224979215032e-06,0.0116772075447947
"T7Hi","wt","wt","wt","PA117","2","T7Hi",17503,18406,"T7p35","6",204124,4606928,0.0443080508312698,0.0490676088939865,5.11224979215032e-06,0.00959804604409747
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18393,18507,"T7p36","6.3",47673,4606928,0.0103481104979283,0.0907728991046345,5.11224979215032e-06,0.0177559592733542
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18604,18859,"T7p37","6.5",177191,4606928,0.038461855709488,0.150830806703874,5.11224979215032e-06,0.0295038022076836
"T7Hi","wt","wt","wt","PA117","2","T7Hi",18863,19130,"T7p38","6.7",190883,4606928,0.0414339012895361,0.155183150897139,5.11224979215032e-06,0.0303551581410238
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19129,19531,"T7p39","7",302579,4606928,0.0656791250047754,0.163380907972078,5.11224979215032e-06,0.0319587098859966
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19534,19834,"T7p40","7.3",273520,4606928,0.0593714509972806,0.197904836657602,5.11224979215032e-06,0.0387118870759168
"T7Hi","wt","wt","wt","PA117","2","T7Hi",19847,20240,"T7p41","7.7",317066,4606928,0.0688237367720963,0.175124012142739,5.11224979215032e-06,0.0342557619957529
"T7Hi","wt","wt","wt","PA117","2","T7Hi",20239,21850,"T7p42","8",971176,4606928,0.210807722629917,0.130855197163201,5.11224979215032e-06,0.0255964012877706
"T7Hi","wt","wt","wt","PA117","2","T7Hi",21949,22873,"T7p43","9",1131195,4606928,0.245542148694314,0.265738256162678,5.11224979215032e-06,0.0519806869708733
"T7Hi","wt","wt","wt","PA117","2","T7Hi",22966,24162,"T7p44","10B",2956706,4606928,0.641795573970333,0.536618372884894,5.11224979215032e-06,0.104967166062357
"T7Hi","wt","wt","wt","PA117","2","T7Hi",22966,24004,"T7p45","10A",2704152,4606928,0.58697509490055,0.565486603950433,5.11224979215032e-06,0.110614040186127
"T7Hi","wt","wt","wt","PA117","2","T7Hi",24227,24818,"T7p46","11",156852,4606928,0.0340469831523306,0.0576091085487827,5.11224979215032e-06,0.0112688367922161
"T7Hi","wt","wt","wt","PA117","2","T7Hi",24841,27226,"T7p47","12",453700,4606928,0.0984821121580368,0.0412922902130133,5.11224979215032e-06,0.00807712687991424
"T7Hi","wt","wt","wt","PA117","2","T7Hi",27306,27723,"T7p48","13",83166,4606928,0.0180523767682065,0.0432910713865863,5.11224979215032e-06,0.00846810565732885
"T7Hi","wt","wt","wt","PA117","2","T7Hi",27727,28318,"T7p49","14",222946,4606928,0.0483936367140967,0.0818843260813819,5.11224979215032e-06,0.0160172779912109
"T7Hi","wt","wt","wt","PA117","2","T7Hi",28324,30568,"T7p50","15",636680,4606928,0.138200553601011,0.0615866994656913,5.11224979215032e-06,0.0120468877636331
"T7Hi","wt","wt","wt","PA117","2","T7Hi",30594,34551,"T7p51","16",781659,4606928,0.169670331292349,0.0428785269882106,5.11224979215032e-06,0.00838740842711737
"T7Hi","wt","wt","wt","PA117","2","T7Hi",34623,36285,"T7p52","17",801359,4606928,0.173946499706529,0.104660950485276,5.11224979215032e-06,0.0204725814935685
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36343,36547,"T7p53","17.5",101371,4606928,0.0220040339245588,0.107862911394896,5.11224979215032e-06,0.0210989125688882
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36552,36822,"T7p54","18",99497,4606928,0.0215972552642455,0.0799898343120204,5.11224979215032e-06,0.0156466991176452
"T7Hi","wt","wt","wt","PA117","2","T7Hi",36916,37348,"T7p55","18.5",124297,4606928,0.0269804520496088,0.0624547501148351,5.11224979215032e-06,0.0122166859316484
"T7Hi","wt","wt","wt","PA117","2","T7Hi",37031,37283,"T7p56","18.7",73147,4606928,0.015877608679797,0.0630063836499882,5.11224979215032e-06,0.0123245901925083
"T7Hi","wt","wt","wt","PA117","2","T7Hi",37369,39130,"T7p57","19",380065,4606928,0.0824985760576245,0.0468475730026261,5.11224979215032e-06,0.00916378794216177
"T7Hi","wt","wt","wt","PA117","2","T7Hi",38015,38273,"T7p58","19.2",78944,4606928,0.0171359309283757,0.0664183369316888,5.11224979215032e-06,0.0129919975807269
"T7Hi","wt","wt","wt","PA117","2","T7Hi",38552,38726,"T7p59","19.3",57135,4606928,0.0124019737230536,0.0712757110520323,5.11224979215032e-06,0.0139421417086219
"T7Hi","wt","wt","wt","PA117","2","T7Hi",39388,39538,"T7p60","19.5",80675,4606928,0.0175116693814186,0.116744462542791,5.11224979215032e-06,0.0228362203118572
"T7Hi","wt","wt","wt","PA133","3","T7Hi",890,1468,"T7p01","0.3",5883,1627125,0.00361557962664208,0.00625532807377523,5.21337384757484e-06,0.00119986178944084
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1277,1433,"T7p02","0.4",1,1627125,6.14580932626565e-07,3.9396213629908e-06,5.21337384757484e-06,7.55675974555985e-07
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1468,3138,"T7p03","0.7",9354,1627125,0.00574879004378889,0.00344238924777778,5.21337384757484e-06,0.000660299711554181
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1495,1639,"T7p04","0.5",1,1627125,6.14580932626565e-07,4.26792314324004e-06,5.21337384757484e-06,8.18648972435651e-07
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1635,1972,"T7p05","0.6B",0,1627125,0,0,5.21337384757484e-06,0
"T7Hi","wt","wt","wt","PA133","3","T7Hi",1635,1797,"T7p06","0.6A",0,1627125,0,0,5.21337384757484e-06,0
"T7Hi","wt","wt","wt","PA133","3","T7Hi",3138,5887,"T7p07","1",28072,1627125,0.0172525159406929,0.00627592431454818,5.21337384757484e-06,0.00120381244430948
"T7Hi","wt","wt","wt","PA133","3","T7Hi",5887,6448,"T7p08","1.2",45144,1627125,0.0277446416224937,0.0494556891666554,5.21337384757484e-06,0.00948631166929668
"T7Hi","wt","wt","wt","PA133","3","T7Hi",6006,6135,"T7p09","1.1",10920,1627125,0.00671122378428209,0.0520249905758302,5.21337384757484e-06,0.00997914059050862
"T7Hi","wt","wt","wt","PA133","3","T7Hi",6448,7588,"T7p10","1.3",83733,1627125,0.0514607052316202,0.0451409695014212,5.21337384757484e-06,0.00865868645165739
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7607,7763,"T7p11","1.4",6942,1627125,0.00426642083429362,0.0273488515018822,5.21337384757484e-06,0.00524590261536765
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7790,7880,"T7p12","1.5",10273,1627125,0.00631358992087271,0.0701509991208078,5.21337384757484e-06,0.0134559694301303
"T7Hi","wt","wt","wt","PA133","3","T7Hi",7905,8166,"T7p13","1.6",26743,1627125,0.0164357378812322,0.0629721757901618,5.21337384757484e-06,0.0120789679833636
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8165,8756,"T7p14","1.7",70210,1627125,0.0431497272797111,0.0730113828759918,5.21337384757484e-06,0.0140046321270352
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8748,8895,"T7p15","1.8",26229,1627125,0.0161198432818622,0.109658797835797,5.21337384757484e-06,0.0210341327980552
"T7Hi","wt","wt","wt","PA133","3","T7Hi",8897,9092,"T7p16","2",26093,1627125,0.016036260275025,0.0822372321796152,5.21337384757484e-06,0.0157742825632715
"T7Hi","wt","wt","wt","PA133","3","T7Hi",9157,9856,"T7p17","2.5",111009,1627125,0.0682240147499424,0.0976023100857545,5.21337384757484e-06,0.0187215252424603
"T7Hi","wt","wt","wt","PA133","3","T7Hi",9856,10276,"T7p18","2.8",77069,1627125,0.0473651378965968,0.11277413784904,5.21337384757484e-06,0.0216316997679919
"T7Hi","wt","wt","wt","PA133","3","T7Hi",10256,10706,"T7p19","3",89834,1627125,0.0552102635015749,0.122689474447944,5.21337384757484e-06,0.023533603772731
"T7Hi","wt","wt","wt","PA133","3","T7Hi",10705,11161,"T7p20","3.5",132775,1627125,0.0816009833294922,0.178949524845378,5.21337384757484e-06,0.0343250896784664
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11224,11590,"T7p21","3.8",5846,1627125,0.0035928401321349,0.00981650309326476,5.21337384757484e-06,0.00188294631850183
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11564,13265,"T7p22","4A",56805,1627125,0.034911269877852,0.0205239681821588,5.21337384757484e-06,0.00393679194744611
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11634,11757,"T7p23","4.1",5466,1627125,0.00335929937773681,0.0273113770547708,5.21337384757484e-06,0.0052387144780487
"T7Hi","wt","wt","wt","PA133","3","T7Hi",11753,13265,"T7p24","4B",52226,1627125,0.032097103787355,0.0212282432456052,5.21337384757484e-06,0.00407188202232612
"T7Hi","wt","wt","wt","PA133","3","T7Hi",12987,13326,"T7p25","4.2",24241,1627125,0.0148980563878006,0.0439470689905621,5.21337384757484e-06,0.0084296791819381
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13351,13564,"T7p26","4.3",33496,1627125,0.0205860029192594,0.096647901029387,5.21337384757484e-06,0.0185384558742791
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13583,13853,"T7p27","4.5",33888,1627125,0.020826918644849,0.0771367357216631,5.21337384757484e-06,0.014795934068213
"T7Hi","wt","wt","wt","PA133","3","T7Hi",13926,14334,"T7p28","4.7",8909,1627125,0.00547530152877007,0.0134198566881619,5.21337384757484e-06,0.00257412130426913
"T7Hi","wt","wt","wt","PA133","3","T7Hi",14352,16467,"T7p29","5",52812,1627125,0.0324572482138742,0.0153462166495859,5.21337384757484e-06,0.00294362481921849
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16482,16839,"T7p30","5.3",15903,1627125,0.00977368057156027,0.0273772565029699,5.21337384757484e-06,0.00525135110264638
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16850,17359,"T7p31","5.5-5.7",33124,1627125,0.0203573788123223,0.0399948503189044,5.21337384757484e-06,0.00767158686260515
"T7Hi","wt","wt","wt","PA133","3","T7Hi",16850,17150,"T7p32","5.5",23353,1627125,0.0143523085196282,0.0478410283987606,5.21337384757484e-06,0.00917659653757908
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17149,17359,"T7p33","5.7",18192,1627125,0.0111804563263425,0.0532402682206785,5.21337384757484e-06,0.0102122483016338
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17358,17517,"T7p34","5.9",15700,1627125,0.00964892064223707,0.0606850354857678,5.21337384757484e-06,0.0116402616156133
"T7Hi","wt","wt","wt","PA133","3","T7Hi",17503,18406,"T7p35","6",79312,1627125,0.0487436429284781,0.0539796710171408,5.21337384757484e-06,0.0103540763803561
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18393,18507,"T7p36","6.3",16304,1627125,0.0100201275255435,0.0878958554872239,5.21337384757484e-06,0.01685968780622
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18604,18859,"T7p37","6.5",53531,1627125,0.0328991319044327,0.129016203546795,5.21337384757484e-06,0.0247471613045381
"T7Hi","wt","wt","wt","PA133","3","T7Hi",18863,19130,"T7p38","6.7",71567,1627125,0.0439837136052854,0.164733009757623,5.21337384757484e-06,0.0315981578482529
