Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
Library science ..........................................,"1,013",843,375,155,90,58,52,76,76,82,68,78,85,96,95,102,127,99
Mathematics and statistics ........................................,"24,801","15,984","11,078","16,122","14,393","12,713","11,171","14,351","14,770","14,954","15,192","15,507","16,029","17,182","18,841","20,449","20,987","21,853"
Military technologies and applied sciences ................................,357,952,42,255,183,7,21,40,33,168,39,55,56,64,86,105,185,276
Multi/interdisciplinary studies ................................,"6,324","13,709","12,986","13,754","17,774","26,885","26,478","28,939","30,583","32,111","34,174","35,376","37,717","42,473","45,717","47,658","48,392","47,556"
"Parks, recreation, leisure, and fitness studies ...................","1,621","5,182","5,729","4,623","4,315","12,974","17,948","22,888","25,490","27,430","29,931","31,683","33,332","35,934","38,998","42,628","46,047","49,006"
Philosophy and religious studies ..................................,"8,149","8,447","6,776","6,396","7,423","7,541","8,717","11,584","11,985","11,969","12,257","12,448","12,503","12,830","12,645","12,792","11,999","11,072"
Physical sciences and science technologies .............................,"21,410","21,458","23,936","21,711","16,334","19,716","18,025","19,104","20,522","21,291","22,179","22,691","23,381","24,705","26,664","28,053","29,307","30,038"
Precision production ....................................,0,0,0,2,2,12,31,64,55,23,33,29,29,43,37,36,37,48
Psychology .........................................,"38,187","50,278","41,068","40,628","58,655","73,416","73,645","85,614","88,134","90,039","92,587","94,273","97,215","100,906","109,099","114,446","117,312","117,557"
Public administration and social services ........................,"5,466","15,440","16,707","11,887","14,350","19,849","19,447","21,769","21,986","23,147","23,493","23,852","25,421","26,799","29,695","31,950","33,483","34,363"
Social sciences and history ........................................,"155,324","126,396","100,513","93,840","125,107","126,479","128,036","156,892","161,485","164,183","167,363","168,517","172,782","177,169","178,534","177,767","173,132","166,944"
Theology and religious vocations ....................,"3,720","5,490","5,808","5,510","4,799","5,292","6,945","9,284","8,548","8,696","8,992","8,940","8,719","9,073","9,304","9,385","9,642","9,708"
Transportation and materials moving .....................,0,225,263,"1,838","2,622","3,561","3,748","4,904","5,349","5,657","5,203","5,189","4,998","4,941","4,876","4,661","4,588","4,711"
Visual and performing arts ...............................,"30,394","42,138","40,479","37,241","42,186","49,296","61,148","80,955","83,297","85,186","87,703","89,143","91,798","93,939","95,806","97,799","97,414","95,832"
Not classified by field of study ...................,0,0,0,0,"13,258","1,756",783,0,0,0,377,0,0,0,0,0,0,0
